loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy
0.8587,1.203,0.0001998,0.8549,4745,0.8015,0.001027,,,,,,,
0.3754,1.164,0.0001996,0.3523,9636,0.9022,0.002055,,,,,,,
,,,,,,0.002055,0.3512,130.4,33.17,4.149,0.3562,9636,0.8952
0.3203,0.5586,0.0001994,0.3093,1.426e+04,0.9045,0.003082,,,,,,,
0.3355,0.4453,0.0001992,0.3165,1.892e+04,0.9115,0.00411,,,,,,,
,,,,,,0.00411,0.3315,133.3,32.45,4.057,0.34,1.892e+04,0.8994
0.3099,0.4141,0.000199,0.2938,2.374e+04,0.9156,0.005137,,,,,,,
0.3256,0.5547,0.0001988,0.3136,2.844e+04,0.9089,0.006165,,,,,,,
,,,,,,0.006165,0.3228,136.7,31.65,3.959,0.3194,2.844e+04,0.9039
0.2787,0.4922,0.0001986,0.2771,3.3e+04,0.9165,0.007192,,,,,,,
0.3021,0.5391,0.0001984,0.279,3.757e+04,0.9105,0.008219,,,,,,,
,,,,,,0.008219,0.3207,131.4,32.93,4.118,0.3239,3.757e+04,0.9055
0.3262,0.3125,0.0001982,0.3162,4.228e+04,0.9101,0.009247,,,,,,,
0.3453,0.8477,0.000198,0.3335,4.708e+04,0.902,0.01027,,,,,,,
,,,,,,0.01027,0.3145,133.2,32.47,4.061,0.311,4.708e+04,0.9064
0.3217,0.3984,0.0001978,0.2979,5.188e+04,0.9099,0.0113,,,,,,,
0.3379,0.5469,0.0001976,0.32,5.675e+04,0.9042,0.01233,,,,,,,
,,,,,,0.01233,0.3133,123.5,35.03,4.381,0.3254,5.675e+04,0.9064
0.3466,0.4238,0.0001973,0.325,6.164e+04,0.9047,0.01336,,,,,,,
0.3539,0.4453,0.0001971,0.3253,6.664e+04,0.905,0.01438,,,,,,,
,,,,,,0.01438,0.3079,128.5,33.65,4.209,0.3117,6.664e+04,0.9082
0.2936,0.4727,0.0001969,0.2923,7.135e+04,0.9107,0.01541,,,,,,,
0.2966,0.6172,0.0001967,0.2995,7.619e+04,0.9108,0.01644,,,,,,,
,,,,,,0.01644,0.3104,131.9,32.81,4.103,0.3041,7.619e+04,0.9084
0.2872,0.4883,0.0001965,0.2756,8.096e+04,0.9146,0.01747,,,,,,,
0.307,0.3984,0.0001963,0.2969,8.574e+04,0.9104,0.01849,,,,,,,
,,,,,,0.01849,0.3067,130.8,33.06,4.135,0.3118,8.574e+04,0.9083
0.3462,0.3828,0.0001961,0.3214,9.064e+04,0.9076,0.01952,,,,,,,
0.2842,0.4785,0.0001959,0.2825,9.532e+04,0.9118,0.02055,,,,,,,
,,,,,,0.02055,0.3061,125.8,34.38,4.3,0.297,9.532e+04,0.9092
0.2539,0.4629,0.0001957,0.2583,9.984e+04,0.9215,0.02158,,,,,,,
0.332,0.6289,0.0001955,0.2771,1.046e+05,0.9086,0.0226,,,,,,,
,,,,,,0.0226,0.3073,124,34.87,4.361,0.2947,1.046e+05,0.9092
0.2806,0.4297,0.0001953,0.2781,1.093e+05,0.9177,0.02363,,,,,,,
0.303,0.4434,0.0001951,0.3035,1.139e+05,0.9113,0.02466,,,,,,,
,,,,,,0.02466,0.3057,123.6,34.99,4.376,0.3178,1.139e+05,0.9089
0.283,0.5078,0.0001949,0.2868,1.187e+05,0.9153,0.02569,,,,,,,
0.2758,0.4648,0.0001947,0.2592,1.234e+05,0.9194,0.02671,,,,,,,
,,,,,,0.02671,0.3056,124,34.9,4.365,0.288,1.234e+05,0.9096
0.296,0.3398,0.0001945,0.2804,1.281e+05,0.9148,0.02774,,,,,,,
0.2673,0.5742,0.0001943,0.2631,1.326e+05,0.9251,0.02877,,,,,,,
,,,,,,0.02877,0.3063,124.9,34.64,4.332,0.302,1.326e+05,0.9083
0.2632,0.418,0.0001941,0.2614,1.373e+05,0.924,0.0298,,,,,,,
0.2833,0.4238,0.0001939,0.269,1.419e+05,0.9201,0.03082,,,,,,,
,,,,,,0.03082,0.3031,122.6,35.29,4.413,0.2985,1.419e+05,0.9092
0.2948,0.4258,0.0001937,0.2837,1.465e+05,0.9162,0.03185,,,,,,,
0.2891,0.3262,0.0001934,0.2772,1.513e+05,0.9188,0.03288,,,,,,,
,,,,,,0.03288,0.3056,126.2,34.28,4.287,0.3058,1.513e+05,0.9099
0.2638,0.5508,0.0001932,0.2612,1.56e+05,0.9228,0.03391,,,,,,,
0.3118,0.4473,0.000193,0.2832,1.609e+05,0.9143,0.03493,,,,,,,
,,,,,,0.03493,0.3001,125.2,34.55,4.321,0.2883,1.609e+05,0.9107
0.2997,0.4199,0.0001928,0.2753,1.655e+05,0.9126,0.03596,,,,,,,
0.2861,0.4434,0.0001926,0.2867,1.704e+05,0.9159,0.03699,,,,,,,
,,,,,,0.03699,0.302,125.8,34.39,4.301,0.2943,1.704e+05,0.91
0.2743,0.3555,0.0001924,0.2619,1.751e+05,0.92,0.03802,,,,,,,
0.2813,0.4297,0.0001922,0.2763,1.799e+05,0.9169,0.03904,,,,,,,
,,,,,,0.03904,0.3024,122,35.45,4.433,0.2949,1.799e+05,0.9096
0.3837,0.4297,0.000192,0.3093,1.851e+05,0.905,0.04007,,,,,,,
0.2919,0.3984,0.0001918,0.2799,1.898e+05,0.9198,0.0411,,,,,,,
,,,,,,0.0411,0.3001,120.8,35.82,4.479,0.3017,1.898e+05,0.9109
0.2778,0.4258,0.0001916,0.2777,1.945e+05,0.9211,0.04212,,,,,,,
0.2609,0.4941,0.0001914,0.2435,1.992e+05,0.9263,0.04315,,,,,,,
,,,,,,0.04315,0.3004,120.8,35.8,4.477,0.3002,1.992e+05,0.9103
0.2406,0.3418,0.0001912,0.2422,2.037e+05,0.9266,0.04418,,,,,,,
0.2402,0.3926,0.000191,0.2287,2.083e+05,0.9254,0.04521,,,,,,,
,,,,,,0.04521,0.2986,120.8,35.81,4.479,0.3012,2.083e+05,0.9104
0.322,0.4297,0.0001908,0.3194,2.132e+05,0.9086,0.04623,,,,,,,
